Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1889,de,Thayer,,,1889/08/18,Flugvorrichtung zum Schleppen von Fahrzeugen in verschiedener Höhe,Lilienthal museum,Flugvorrichtung zum Schleppen von Fahrzeugen in verschiedener Höhe,,1,,,,,,,,
1889,de,Parje,,,1889/08/27,Rundlaufender Mörser als Betriebsmaschine für Luftschiffe,Lilienthal museum,Rundlaufender Mörser als Betriebsmaschine für Luftschiffe,,1,,,,,,,,
1890,de,"Lilienthal, Otto",,,1890/01/11,Steam jet bike with open hollow blades and fixed blades counter,Lilienthal museum,Dampfstrahlrad mit offenen Hohlschaufeln und feststehenden Gegenschaufeln,,1,,,,,,,,
1890,de,Fischbach,,,1890/05/28,Aus gelenkig verbundenen Kammern bestehender Luftballon,Lilienthal museum,Aus gelenkig verbundenen Kammern bestehender Luftballon,,1,,,,,,,,
1890,de,Maxim,,,1890/07/02,Neuerungen an Luftfahrtmaschinen,Lilienthal museum,Neuerungen an Luftfahrtmaschinen,,1,,,,,,,,
1890,de,Silva,,,1890/07/05,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1890,de,Hartmann,,,1890/07/13,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1890,de,Nathan,,,1890/07/13,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1890,de,Münzinger,,,1890/07/19,Tragbrücke (Plattform) für Luftballons,Lilienthal museum,Tragbrücke (Plattform) für Luftballons,,1,,,,,,,,
1890,de,Cairncross,,,1890/07/22,Lenkbares Luftschiff,Lilienthal museum,Lenkbares Luftschiff,,1,,,,,,,,
1890,de,"Lilienthal, Otto",,,1890/08/16,Discs with zig and split-spoke hub,Lilienthal museum,Riemscheiben mit Zickzackspeichen und getheilter Nabe,,1,,,,,,,,
1890,de,Nahl,,,1890/09/11,Luftschiff mit verstellbaren Ballastbehälter,Lilienthal museum,Luftschiff mit verstellbaren Ballastbehälter,,1,,,,,,,,
1890,de,Capone,,,1890/11/14,Flugmaschine,Lilienthal museum,Flugmaschine,,1,,,,,,,,
1890,de,Zorn,,,1890/11/15,Propellerschraube für Luftschiffe,Lilienthal museum,Propellerschraube für Luftschiffe,,1,,,,,,,,
1890,de,Ellinger,,,1890/12/15,"Luftschiff, welches nach Art der Seilschleppschiffe betrieben wird",Lilienthal museum,"Luftschiff, welches nach Art der Seilschleppschiffe betrieben wird",,1,,,,,,,,
1890,de,"Lilienthal, G.",,,,Removing charred portion of lamp wicks,Lilienthal museum,Removing charred portion of lamp wicks,,1,,,,,,,,
1891,de,Hankwitz,,,1891/01/10,Schraubenförmiger Luftballon,Lilienthal museum,Schraubenförmiger Luftballon,,1,,,,,,,,
1891,de,"Bauer, Johannes (Varel a. d. Jade)",LTA,68776,1891/05/24,Steerable airship,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000068776a.pdf,Lenkbares Luftschiff,,1,1891/05/24,1893/06/02,,,,,,
1891,de,"Baudisch, Hugo (Berlin)",propulsion,63774,1891/06/24,Drive device for sash of airships,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000063774a.pdf,Antriebsvorrichtung für Flügel von Luftschiffen,,1,1891/06/24,1892/08/13,,,,,,
1891,de,"Geissler, C.",,,1891/08/28,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1891,de,Capone,,,1891/11/05,Flugmaschine,Lilienthal museum,Flugmaschine,,1,,,,,,,,
1891,de,Klumpp,,,1891/12/17,Flugapparat bestehend aus Luftturbine und Pumpe,Lilienthal museum,Flugapparat bestehend aus Luftturbine und Pumpe,,1,,,,,,,,
1892,de,Steiger,,,1892/00/00,Tandemhochdecker,Lilienthal museum,Tandemhochdecker,,1,,,,,,,,
1892,de,"Walker, T.",,,1892/01/12,Luftschiff mit einer das Gerippe des Fahrzeuges faltig umschließenden Hülle,Lilienthal museum,Luftschiff mit einer das Gerippe des Fahrzeuges faltig umschließenden Hülle,,1,,,,,,,,
1892,de,Dubois,,,1892/01/21,Luftschiff mit einem aus zwei getrennten granatenförmigen Gasbehältern bestehenden Ballon,Lilienthal museum,Luftschiff mit einem aus zwei getrennten granatenförmigen Gasbehältern bestehenden Ballon,,1,,,,,,,,
1892,de,Lavarenne,,,1892/02/29,Eine die Reaktion eines aus einem Rohrsystem austretenden Treibmittels ausnützende Antriebsvorrichtung für Luftschiffe,Lilienthal museum,Eine die Reaktion eines aus einem Rohrsystem austretenden Treibmittels ausnützende Antriebsvorrichtung für Luftschiffe,,1,,,,,,,,
1892,de,Chillingworth,,,1892/03/25,Flugmaschine mit zwei an derselben befestigten Flügeln,Lilienthal museum,Flugmaschine mit zwei an derselben befestigten Flügeln,,1,,,,,,,,
1892,de,Gabriell,,,1892/03/27,Luftschiff mit zweiteiligem Ballon und Schiff,Lilienthal museum,Luftschiff mit zweiteiligem Ballon und Schiff,,1,,,,,,,,
1892,de,"Koch, Gustav",,,1892/03/28,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1892,de,Rodeck,,,1892/05/07,Drachen-Fesselballon,Lilienthal museum,Drachen-Fesselballon,,1,,,,,,,,
1892,de,Junius,,,1892/07/28,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1892,de,Hüttner,,,1892/12/22,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1893,de,"Billwiller, Carl Friedrich (Zürich)",DE77; propulsion; control,70746,1893/01/15,Airship with a steering device,"Lilienthal museum. Full text: http://www.museumnet.lilienthal-museum.de/digitalisate/de000000070746a.pdf   The steering device seems to be propellers, projected out from the craft",Luftschiff mit Lenkvorrichtung,,1,1893/01/15,1893/08/30,,,,,,
1893,de,Ozeyowski,,,1893/01/17,Mit Flügeln ausgerüstetes Luftschiff in Bootsform,Lilienthal museum,Mit Flügeln ausgerüstetes Luftschiff in Bootsform,,1,,,,,,,,
1893,de,Severo,,,1893/01/18,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1893,de,Schubert,,,1893/02/15,Zum Tragen von Personen bestimmter Drachen,Lilienthal museum,Zum Tragen von Personen bestimmter Drachen,,1,,,,,,,,
1893,de,Chillingworth,,,1893/03/06,Zusatzpatent zu 70409 für motorischen Betrieb besser geeigneter Vorrichtung,Lilienthal museum,Zusatzpatent zu 70409 für motorischen Betrieb besser geeigneter Vorrichtung,,1,,,,,,,,
1893,de,"Lilienthal, Otto",,,1893/04/15,Process for the conversion of wastewater into the ground,Lilienthal museum,Verfahren zur Ueberführung von Abwässern in den Erdboden,,0,,,,,,,,
1893,de,Czygan,,,1893/04/17,Propeller für Luftschiffe,Lilienthal museum,Propeller für Luftschiffe,,1,,,,,,,,
1893,de,Czygan,,,1893/04/18,durch einen Drehpropeller gehobenes Luftschiff,Lilienthal museum,durch einen Drehpropeller gehobenes Luftschiff,,1,,,,,,,,
1893,de,Wellner,,,1893/04/22,Segelrad für Flugmaschinen,Lilienthal museum,Segelrad für Flugmaschinen,,1,,,,,,,,
1893,de,Roze,,,1893/05/05,Flugmaschine mit Glasebalgähnlichen Anhängseln an den Ballons zur Aufnahme des beim Szeigen sich aus,Lilienthal museum,Flugmaschine mit Glasebalgähnlichen Anhängseln an den Ballons zur Aufnahme des beim Szeigen sich aus,,1,,,,,,,,
1893,de,Voorde,,,1893/05/18,Luftschiff mit Luftwiderstandsschirm,Lilienthal museum,Luftschiff mit Luftwiderstandsschirm,,1,,,,,,,,
1893,de,Homeister,,,1893/05/26,Luftschiff ohnr Ballon,Lilienthal museum,Luftschiff ohnr Ballon,,1,,,,,,,,
1893,de,"Riedinger, A.",,,1893/06/10,"Verfahren um das Aufsteigen von Flugmaschinen zu ermöglichen,",Lilienthal museum,"Verfahren um das Aufsteigen von Flugmaschinen zu ermöglichen,",,1,,,,,,,,
1893,de,"Wolff, C.",,,1893/07/09,Luftschiff mit einem um eine freie Achse rotierenden Ballon,Lilienthal museum,Luftschiff mit einem um eine freie Achse rotierenden Ballon,,1,,,,,,,,
1893,de,Lindenberg,,,1893/07/14,Airship with balloons,Lilienthal museum,Luftschiff mit Ballons,,1,,,,,,,,
1893,de,Ammann (Thailtingen in Württemberg),,75900,1893/08/10,Airship with forward curved side wings and a horizontal axis oscillating sailing-tail,Lilienthal museum,Luftschiff mit nach vorn geneigten Seitenflügeln und einem um eine waagerechte Achse pendelnden Schwanzsegel,,1,,,,,,,,
1893,de,"Lilienthal, Otto",,,1893/09/03,Flying machine,Lilienthal museum,Flugapparat,,1,,,,,,,,
1893,de,"Riedinger, A.",,,1893/10/10,Luftballon mit einer der Luftströmung entgegen gerichteten Öffnung,Lilienthal museum,Luftballon mit einer der Luftströmung entgegen gerichteten Öffnung,,1,,,,,,,,
1893,de,Fillmann,,,1893/10/12,Luftschiff in Bootsform,Lilienthal museum,Luftschiff in Bootsform,,1,,,,,,,,
1893,de,Sauce,,,1893/10/22,Luftschiff mit einer gegen den Horizont beliebig verstellbaren Tragfläche,Lilienthal museum,Luftschiff mit einer gegen den Horizont beliebig verstellbaren Tragfläche,,1,,,,,,,,
1893,de,Israel,,,1893/11/14,Flugmaschine,Lilienthal museum,Flugmaschine,,1,,,,,,,,
1893,de,Hurlbut,,,1893/11/18,Schraube zum Steuern von Luftschiffen,Lilienthal museum,Schraube zum Steuern von Luftschiffen,,1,,,,,,,,
1893,de,Dähn,,,1893/12/12,Flügel-Anordnung für Luftschiffe,Lilienthal museum,Flügel-Anordnung für Luftschiffe,,1,,,,,,,,
1893,de,"Meyer, E.",,,1893/12/23,Schaufelrad-Vorrichtung zum Vorwärtsbewegen und Steuern von Luftschiffen,Lilienthal museum,Schaufelrad-Vorrichtung zum Vorwärtsbewegen und Steuern von Luftschiffen,,1,,,,,,,,
1893,de,Stark,,,,Motorflugapparat,Lilienthal museum,Motorflugapparat,,1,,,,,,,,
1894,de,Ozeyowski,,,1894/01/20,"Flügelfahrzeug, dadurch gekennzeichnet das Flügel gleichzeitig als Gasbehälter dienen",Lilienthal museum,"Flügelfahrzeug, dadurch gekennzeichnet das Flügel gleichzeitig als Gasbehälter dienen",,1,,,,,,,,
1894,de,Schüssler,,,1894/01/26,Stellvorrichtung für Flugapparate mit gewölbten Segel,Lilienthal museum,Stellvorrichtung für Flugapparate mit gewölbten Segel,,1,,,,,,,,
1894,de,Rammoser,,,1894/02/23,Luftschiff mit Ballon,Lilienthal museum,Luftschiff mit Ballon,,1,,,,,,,,
1894,de,Boehm,,,1894/02/27,Lenkbare Flugmaschine mit Steigschrauben,Lilienthal museum,Lenkbare Flugmaschine mit Steigschrauben,,1,,,,,,,,
1894,de,"Martin, L.",,,1894/03/31,Schaufelrad für Flugmaschinen oder dgl.,Lilienthal museum,Schaufelrad für Flugmaschinen oder dgl.,,1,,,,,,,,
1894,de,Gaebert,,,1894/04/11,"Verfahren, Lasten in die Luft zu heben bzw. zu fliegen",Lilienthal museum,"Verfahren, Lasten in die Luft zu heben bzw. zu fliegen",,1,,,,,,,,
1894,de,Oetling,,,1894/04/17,Flugrad mit sich selbsttätig einstellenden Schaufeln,Lilienthal museum,Flugrad mit sich selbsttätig einstellenden Schaufeln,,1,,,,,,,,
1894,de,Roeper,,,1894/05/09,Luftschiff mit Tragsegel,Lilienthal museum,Luftschiff mit Tragsegel,,1,,,,,,,,
1894,de,Kühner,,,1894/05/20,Segelrad für Flugmaschinen,Lilienthal museum,Segelrad für Flugmaschinen,,1,,,,,,,,
1894,de,Gaebert,,,1894/06/05,Ausführungsform der unter Patent 79446 geschützten Flugmaschine,Lilienthal museum,Ausführungsform der unter Patent 79446 geschützten Flugmaschine,,1,,,,,,,,
1894,de,Israel,,,1894/06/12,"Flugvorrichtung mit senkrecht schwingenden Flügeln, deren Lager verschiebbar sind",Lilienthal museum,"Flugvorrichtung mit senkrecht schwingenden Flügeln, deren Lager verschiebbar sind",,1,,,,,,,,
1894,de,Loehr,,,1894/06/12,Lenkbares Luftschiff,Lilienthal museum,Lenkbares Luftschiff,,1,,,,,,,,
1894,de,Palacios,,,1894/06/28,"Luftschiff mit mehreren, mit Klappen oder Ventilen versehenen, gegenüber angeordneten und in ihrer Bewegung voneinander unabhängigen Flächen",Lilienthal museum,"Luftschiff mit mehreren, mit Klappen oder Ventilen versehenen, gegenüber angeordneten und in ihrer Bewegung voneinander unabhängigen Flächen",,1,,,,,,,,
1894,de,Gaebert,,,1894/09/24,Ausgestaltung der Flugmaschine Patent 79446,Lilienthal museum,Ausgestaltung der Flugmaschine Patent 79446,,1,,,,,,,,
1894,de,May,,,1894/10/02,Luftschiff mit parallel übereinander um einen Mast drehbar angeordneten Tragflächen,Lilienthal museum,Luftschiff mit parallel übereinander um einen Mast drehbar angeordneten Tragflächen,,1,,,,,,,,
1894,de,May,,,1894/10/02,Luftschiff mit einem in einem Rohr arbeitenden Schraubenpropeller,Lilienthal museum,Luftschiff mit einem in einem Rohr arbeitenden Schraubenpropeller,,1,,,,,,,,
1894,de,Steinau,,,1894/10/11,Stoßflächen für Luft- und Wasserfahrzeuge,Lilienthal museum,Stoßflächen für Luft- und Wasserfahrzeuge,,1,,,,,,,,
1894,de,Borgfeld,,,1894/12/05,Flugapparat mit über die Drehachsen nach innen verlängerten Flügel,Lilienthal museum,Flugapparat mit über die Drehachsen nach innen verlängerten Flügel,,1,,,,,,,,
1894,de,Steinicke,,,1894/12/12,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1894,de,"Billwiller, Carl Friedrich (Zürich)",DE77; propulsion; control,84394,1894/12/16,Airship with a steering device,Lilienthal museum. Full text:  http://www.museumnet.lilienthal-museum.de/digitalisate/de000000084394a.pdf,Luftschiff mit Lenkvorrichtung,70746,1,1894/12/16,1895/11/30,,,,,,
1894,de,Oetling,,,1894/12/24,Flugrad Vervollkommnung des Patentes 80847,Lilienthal museum,Flugrad Vervollkommnung des Patentes 80847,,1,,,,,,,,
1895,de,"Lilienthal, Otto",DE77,DE1895-84417,1895/05/29,Flying machine,"Lilienthal museum ;
PDF: http://www.museumnet.lilienthal-museum.de/digitalisate/l3941.pdf ;
their database info: http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=8039 ;",Flugapparat,DE1893-77916,1,,,,,,,,
1895,de,Kersten,,,1895/01/24,Flugvorrichtung zum Aufsteigen in die Luft unter dem Einfluß horizontaler Luftströmungen von wechselder Richtung und Stärke,Lilienthal museum,Flugvorrichtung zum Aufsteigen in die Luft unter dem Einfluß horizontaler Luftströmungen von wechselder Richtung und Stärke,,1,,,,,,,,
1895,de,"Lilienthal, Otto",,,1895/02/01,Flying machine,Lilienthal museum,Flying Machine,,1,,,,,,,,
1895,de,"Schmidt, O.",,,1895/02/23,Flugapparat mit zweiteiligen Flügeln,Lilienthal museum,Flugapparat mit zweiteiligen Flügeln,,1,,,,,,,,
1895,de,"Schmidt, O.",,,1895/02/23,Steuerapparat für Flugmaschinen,Lilienthal museum,Steuerapparat für Flugmaschinen,,1,,,,,,,,
1895,de,Gaebert,,,1895/02/26,Ausführungsform der Flugmaschine unter Patent 79446,Lilienthal museum,Ausführungsform der Flugmaschine unter Patent 79446,,1,,,,,,,,
1895,de,Gaebert,,,1895/03/06,Absprungvorrichtung für Flugmaschinen,Lilienthal museum,Absprungvorrichtung für Flugmaschinen,,1,,,,,,,,
1895,de,Rentzsch,,,1895/03/23,Parrallel und gegenläufig bewegte Flügel für Luftfahrzeuge,Lilienthal museum,Parrallel und gegenläufig bewegte Flügel für Luftfahrzeuge,,1,,,,,,,,
1895,de,Jacob,,,1895/04/23,Flugmaschine mit Flügeln,Lilienthal museum,Flugmaschine mit Flügeln,,1,,,,,,,,
1895,de,Reiter,,,1895/04/26,flight device,Lilienthal museum,Flugvorrichtung,,1,,,,,,,,
1895,de,"Booth, Henry Shepley (Manchester, Country of Lancaster, England)",DE77 ; Airplane,85688,1895/05/03,Flying machine with wings on both sides of the vehicle spinning/swinging about transverse axes as propellers,Lilienthal museum ; full patent: http://www.museumnet.lilienthal-museum.de/digitalisate/de000000085688a.pdf,Flugmaschine mit zu beiden Seiten des Fahrzeuges angeordneten Flügeln mit um Querachsen schwingende Blätter tragenden Wellen,,1,1895/05/03,1896/02/25,,,,,,
1895,de,Zeppelin,,,1895/08/31,Lenkbares Luftfahrzeug mit mehreren hintereinander angeordneten Tragkörpern,Lilienthal museum,Lenkbares Luftfahrzeug mit mehreren hintereinander angeordneten Tragkörpern,,1,,,,,,,,
1895,de,Edward,,,1895/12/21,Vorrichtung zur Erhaltung von Luftschiffen in einer bestimmten Höhe mittels Barometers,Lilienthal museum,Vorrichtung zur Erhaltung von Luftschiffen in einer bestimmten Höhe mittels Barometers,,1,,,,,,,,
1895,de,Edward,,,1895/12/31,Luftschiff mit in der Längs-Achse angeordneten inneren Gang,Lilienthal museum,Luftschiff mit in der Längs-Achse angeordneten inneren Gang,,1,,,,,,,,
1896,de,Baden-Powell (London),DE77 ; Kites,88995,1896/01/14,Kites for lifting loads,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000088995a.pdf,Drachen zum Heben von Lasten,,1,1896/01/14,1896/10/12,,,,,,
1896,de,"Beckmann, Armin (Charlottenburg)",LTA  ; navigation,93692,1896/01/31,Steerable airship,Lilienthal museum,Lenkbares Luftschiff; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000093692a.pdf,,1,1896/01/31,1897/10/01,,,,,,
1896,de,Schörke,,,1896/04/22,Lenkbares Luftschiff ohne Steuer,Lilienthal museum,Lenkbares Luftschiff ohne Steuer,,1,,,,,,,,
1896,de,Beenen,,,1896/05/06,Umstellvorrichtung für Flugvorrichtungen,Lilienthal museum,Umstellvorrichtung für Flugvorrichtungen,,1,,,,,,,,
1896,de,Molnár,,,1896/05/14,Flugmaschine,Lilienthal museum,Flugmaschine,,1,,,,,,,,
1896,de,Israel,,,1896/06/10,Flugmaschine mit senkrecht schwingenden Flügeln,Lilienthal museum,Flugmaschine mit senkrecht schwingenden Flügeln,,1,,,,,,,,
1896,de,Ozeyowski,,,1896/07/06,Schlagflieger,Lilienthal museum,Schlagflieger,,1,,,,,,,,
1896,de,Götze,,,1896/09/25,"Luftschiff mit concav geschweiften, eine Schneide bildenden Bodenflächen",Lilienthal museum,"Luftschiff mit concav geschweiften, eine Schneide bildenden Bodenflächen",,1,,,,,,,,
1897,de,"Rudolph, H.",,,1897/01/19,Fesselballon mit Drachenfläche,Lilienthal museum,Fesselballon mit Drachenfläche,,1,,,,,,,,
1897,de,Chanute,,,1897/05/18,Soaring-Machine,Lilienthal museum,Soaring-Machine,,1,,,,,,,,
1897,de,"Lilienthal, G.",,,1897/09/08,Hohler Baustein,Lilienthal museum,Hohler Baustein,,1,,,,,,,,
1897,de,"Lilienthal, G.",,,1897/09/08,Decke,Lilienthal museum,Decke,,1,,,,,,,,
1897,de,Nipkow,,,1897/09/14,Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge,Lilienthal museum,Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge,,1,,,,,,,,
1897,de,Gaebert,,,1897/12/22,Verfahren und Einrichtung zum Abflug von Aeroplanen,Lilienthal museum,Verfahren und Einrichtung zum Abflug von Aeroplanen,,1,,,,,,,,
1897,de,Zeppelin,,,1897/12/28,Luftfahrzeug mit verschiebbaren Schlepptauen,Lilienthal museum,Luftfahrzeug mit verschiebbaren Schlepptauen,,1,,,,,,,,
1898,de,Zarski,,,1898/06/01,lenkbares Luftschiff mit durch Planetenräder angetriebenen Wendeflügelrädern,Lilienthal museum,lenkbares Luftschiff mit durch Planetenräder angetriebenen Wendeflügelrädern,,1,,,,,,,,
1898,de,Jager,,,1898/06/18,Anfahrvorrichtung für Flugmaschinen,Lilienthal museum,Anfahrvorrichtung für Flugmaschinen,,1,,,,,,,,
1898,de,Verein,,,1898/06/21,"Vorrichtung zur Vorwärtsbewegung von Körpern in der Luft durch die Schwerkraft mittels nach vorn geneigter, zusammengesetzter Segelflächen",Lilienthal museum,"Vorrichtung zur Vorwärtsbewegung von Körpern in der Luft durch die Schwerkraft mittels nach vorn geneigter, zusammengesetzter Segelflächen",,1,,,,,,,,
1898,de,Fritsch,,,1898/06/23,Vorrichtung zur Erprobung von Flugapparaten,Lilienthal museum,Vorrichtung zur Erprobung von Flugapparaten,,1,,,,,,,,
1898,de,"Henrich, Michael; Bielefeld, Franz (Haag)",,111522,1898/06/24,Airship with a balloon to the gondola rotated about its vertical axis,Lilienthal museum,Luftschiff mit einer zum Ballon um ihre senkrechte Achse drehbaren Gondel,,1,1898/06/24,1900/06/15,,,,,,
1898,de,Lehmann,,,1898/08/20,Von Anhöhen aus in Betrieb zu setzende Flugvorrichtung,Lilienthal museum,Von Anhöhen aus in Betrieb zu setzende Flugvorrichtung,,1,,,,,,,,
1898,de,Nipkow,,,1898/12/02,Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge,Lilienthal museum,Rad mit beweglichen Schaufeln für Luft und Wasserfahrzeuge,,1,,,,,,,,
1898,de,Schlie,,,1898/12/28,"Verfahren und Maschine, Flugmaschinen von der Erde aufsteigen zu lassen",Lilienthal museum,"Verfahren und Maschine, Flugmaschinen von der Erde aufsteigen zu lassen",,1,,,,,,,,
1899,de,Suter,,,1899/01/23,Steuervorrichtung an Luftfahrzeugen,Lilienthal museum,Steuervorrichtung an Luftfahrzeugen,,1,,,,,,,,
1899,de,Suter,,,1899/01/24,Fortbewegungsvorrichtung für Luftfahrzeuge,Lilienthal museum,Fortbewegungsvorrichtung für Luftfahrzeuge,,1,,,,,,,,
1899,de,Breiner,,,1899/03/18,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1899,de,Boinet,,,1899/05/11,Starrer Ballon mit Querwänden,Lilienthal museum,Starrer Ballon mit Querwänden,,1,,,,,,,,
1899,de,Danilewski,,,1899/05/18,Aus einem Ballon und einem an diesem hängenden Flügelmechanismus bestehenden Luftschiff,Lilienthal museum,Aus einem Ballon und einem an diesem hängenden Flügelmechanismus bestehenden Luftschiff,,1,,,,,,,,
1899,de,Rommelsbacher,,,1899/08/31,Luftschraubenrad,Lilienthal museum,Luftschraubenrad,,1,,,,,,,,
