"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1890,"us","Hennig, Carl G E
Paterson, NJ","LTA: car; glider","430,343","1890/06/17","Air-Ship","Short's DB","balloon with sails; another classic hanging basket","Air-Ship",,1,"1889/08/15",,320806,
1890,"us","Cairncross, Stewart
Grafton, ND","LTA; navigation","432,860","1890/07/22","Aerial machine","Short's DB","moveable parts for navigation; lighter machine overall","Aerial machine",,1,"1890/02/10",,339828,
1890,"us","Nahl, Perham W
San Francisco, CA","LTA; navigation","439,421","1890/10/28","Navigable Air-Ship","Short's DB","a “governor” for stabilizing course","Navigable Air-Ship",,1,"1889/11/25",,362559,
1891,"us","Barnes, Burr Frank
Circleville, OH","LTA; wings; cargo","460,194","1891/09/29","Flying-machine","Short's DB","cargo also serves to balance the vessel","Flying-machine",,1,"1891/02/03",,380078,
1891,"us","Arbtin, John
Des Moines, IA","LTA; navigation","462,612","1891/11/03","Air-ship","Short's DB",,"Air-ship",,1,"1890/10/21",,368778,
1891,"us","Cairncross, Stewart
Grafton, ND","LTA; navigation; propulsion","464,851","1891/12/08","Aerial machine","Short's DB","vessel controlled by central steering wheel; liquid ammonia as cooling mechanism","Aerial machine","US432860 (1890)",1,"1891/03/31",,387190,
1891,"us","Pennington, E. J.",," ",,"Transcontinental Airliner","Short's DB","Short's DB - ? - http://en.wikipedia.org/wiki/E.J._Pennington -  reference to 1890 Pennington 'airship' http://www.uniquecarsandparts.com.au/founding_fathers_edward_pennington.htm - reference to Pennington's (1896) work with fuel injection & motorcycles h","Transcontinental Airliner",,1,"'",,,
1892,"us","Walker, James C
Waco, TX","LTA","467,069","1892/01/12","Air Ship","Short's DB","gas contained in vertical cylinders extending through the whole ship","Air Ship",,1,"1891/06/12",,396044,
1892,"us","Gayon, Leon 
Paris, France","propulsion; wings","480,945","1892/08/16","Propeller","Short's DB",,"Propeller",,1,"1891/08/14",,402614,
1892,"us","Barnes, Burr Frank
Circleville, OH","Wings; LTA; car",478905,"1892/07/12","Air-Ship","Short's DB","differs from earlier patent in the expanded car design and the use of motor instead of human power; two sets of wings, vertical & horizontal","Airship","US460194 (1891)",1,"1891/12/05",,414086,
1892,"us","Battey, Sumter B.
New York, NY",," ",1892,"Airship with rocket propulsion","Short's DB"," – possible confusion with Battey's 1893 patent for rocket propulsion","Airship with rocket propulsion",,1,"'",,,
1892,"us","Riddle, William N.
Crowley, TX","LTA"," 473,344","1892/04/19","Aerial ship","Short's DB",,"Aerial ship",,1,"1891/07/11",,399184,
1893,"us","Gabrieli, Georg Theodor Lagus
Christiana, Norway","LTA; propulsion","500,326","1893/06/27","Balloon-Ship","Short's DB","sleek dart-like design","Balloon-Ship",,1,"1892/06/16",,436947,
1893,"us","Steinmann, Theodor
Marburg, Austria-Hungary","LTA; wings","501,111","1893/07/11","Air-Ship","Short's DB","big enough for 'pilot house' with boiler & more","Air-Ship; “Rapid Governable Aerostat”",,1,"1893/01/26",,459927,
1893,"us","Battey, Sumter B
New York, NY","LTA; propulsion; rockets","502,168","1893/07/25","Aerial Machine","Short's DB","probably first rocket-propulsion (aero) patent; envisions large car with passengers & cargo","Aerial Machine",,1,"1892/08/26",,444183,
1893,"us","Bergqvist, Axel F
Fairfield, IA","LTA; car; landing","506,969","1893/10/17","Aerial Vessel","Short's DB","rubber balls to soften landing","Aerial Vessel",,1,"1893/01/11",,458055,
1893,"us","Billwiller, Carl Friedrich
Hottingen, Switzerland","LTA; propulsion; car; cargo","507,609","1893/10/31","Navigable Air-Ship","Short's DB","front and rear propellors operate concurrently (one pushes, the other pulls); conical shape with cylindrical compartment within","Navigable Air-Ship",,1,"1893/04/20",,471062,
1893,"us","Pynchon, Edwin
Chicago, IL","LTA; rocket; car; cargo","508,753","1893/11/14","Air-ship","Short's DB","illustrations show a full-on airliner (the “Albatross”), including a “promenade deck”— rocket propelled","Air-ship",,1,"1891/03/23",,385979,
1893,"us","Sumovski, Joachim Adolfowicz
Kursk, Russia","LTA","510,492","1893/12/12","Balloon","Short's DB","balloon divided into small compartments","Balloon",,1,"1893/01/23",,459344,
1893,"us","Hurlbut, Duane
Paterson, NJ","LTA; car; landing","526,394","1893/09/25","Air-Ship","Short's DB",,"Air-Ship",,1,"1893/10/24",,489014,
1893,"us","Spaeth, Sigmund",," ",1893,"Passenger operated airship","Short's DB"," – may refer to early 1894 patent","Passenger operated airship",,1,"'",,,
1893,"us","Stark, Theodore A; Ottawa, IL","airplane; propulsion; human-powered",490173,"1893/01/17","Man powered airplane","Short's DB"," – motor translates inconsistent energy from human working pedals into continuous energy for airplane flight","Motor",,1,"1892/06/06",,435729,
1894,"us","Spaeth, Sigmund
Falls City, NE","LTA; wings; human-powered; car","514,287","1894/02/06","Aerial Vessel","Short's DB","humans operate wings while sitting in the basket — inventors suggests particular safety in the case of a water landing","Aerial Vessel",,1,"1893/07/29",,481846,
1894,"us","Cross, Christopher G (deceased); Ann Cross, administratrix
Erie, IL","LTA; navigation; wings","516,265","1894/03/13","Aerial Locomotive","Short's DB","poor Chris Cross died before he could reap the benefits of his patent","Aerial Locomotive",,1,"1892/10/03",,447653,
1894,"us","Wellner, Georg
Brünn, Austria-Hungary","Propulsion","516,581","1894/03/13","Flying Apparatus","Short's DB","motion communicated to sails from a central revolving wheel","Flying Apparatus","Ge71903 (1893), Fr229796 (1893), En10405 (1893)",1,"1893/06/17",,478183,
1894,"us","Borgfeldt, Nicholas H.
Brooklyn, NY; 1/6 assigned to Charles Friedrich Zenker","LTA; wings; human-powered","530,219","1894/12/04","Apparatus for aerial navigation","Short's DB",,"Apparatus for aerial navigation",,1,"1894/01/27",,498188,
1895,"us","Funcheon, Daniel C.
Valverde, CO; ½ assigned to Charles E. Olsen; Denver, CO","navigation; track","536,174","1895/03/19","Means for propelling, guiding and controlling air-ships","Short's DB","grounded guide-cable","Means for propelling, guiding and controlling air-ships",,1,"1894/09/17",,523243,
1895,"us","Lilienthal, Otto
Berlin, Germany","glider","544,816","1895/08/20","Flying-Machine","Short's DB","“imitates the 'soaring' of birds (& not the flapping);  http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=45;  http://www.museumnet.lilienthal-museum.de/digitalisate/l3914.pdf; abgedruckt im Aeronautical Annual 1896, S.20ff mit Verkaufsofferte”; w","Flying-Machine",,1,"1894/02/28","1895/08/20",501330,
1895,"us","Hutchinson, William Nelson
Eastbourne, England","LTA; navigation","548,053","1895/10/15","Navigable Balloon","Short's DB","improvements to steering through propellors, & to structure of balloon","Navigable Balloon","En22483 (1893), En10610 (1894)",1,"1895/05/01",,547787,
1896,"us","Kosch, Rudolph  (Cleveland, Ohio)","ornithopter; helicopter; human-powered"," ",,"Man-powered helicopter","Short's DB","“Kosch ornithopter of 1896” -  -other patents include sewing machines & cycles – he did fihttp://chezpeps.free.fr/0/pre-1914/pre-1914_08-351_400-copy_paste_Breguet-Pre-1914-Aircraft-Challenge.htmlle an aero patent in the UK, 1896","Man-powered helicopter","En9129 (1896), Ge99860 (1897)",1,,,,
1895,"us","De Los Olivos, Estanislao Caballero
New York, NY; citizen of Mexico","Propulsion"," 542100","1895/07/02","Flying saucer","Short's DB","circular 'aeroplane' rotating around a vertical axis, driven by a screw","Aerial Navigation",,1,"1894/12/11",,531455,
1896,"us","Coutinho, Manoel Vianna
Para, Brazil","LTA","556,621","1896/03/17","Aerostat","Short's DB",,"Aerostat",,1,"1894/10/5",,524969,
1896,"us","Kline, Frank; assigns ½ to Cyrus Stacey
Arcadia OH","propulsion;marine","564,790","1896/07/28","Power-Wheel","Short's DB","power wheel for air or sea vessels","Power-Wheel",,1,"1895/05/06",,543363,
1896,"us","Croix, Edward J
Seattle, WA","LTA; car","573,549","1896/12/22","Air-Ship","Short's DB",,"Air-Ship",,1,"1896/12/22",,605514,
1897,"us","Heintz, Henry
Elkton, SD","LTA; car; cargo","580,941","1897/04/20","Air-Ship","Short's DB","big vessel; most unique specification is probably a search-light out front","Air-Ship",,1,"1896/10/01",,607561,
1897,"us","Myers, Carl Edgar
Mohawk, NY","LTA; propulsion; wings; human-powered","581,218","1897/04/20","Sky-Cycle","Short's DB","a new record for delays?; helical propellor (does this a helicopter make?)","Sky-Cycle",,1,"1889/03/13",,303178,
1897,"us","Chanute, Octave
Chicago, IL","glider","582,718","1897/05/18","Soaring-machine","Short's DB","developments in glider frame, including springs; Lilienthal Museum says: “""The present invention is an improvement upon the flying-machine recently patented to Otto Lilienthal ...""
Ausgegeben: 1897/05/18”  (source: http://www.museumnet.lilienthal-museum.d","Soaring-machine",,1,"1895/12/7",,571366,
1897,"us","Mouillard, Louis Pierre; ½ assigned to Octave Chanute of Chicago, IL
Cairo, Egypt; citizen of France","glider","582,757","1897/05/18","Means for aerial flight","Short's DB","note long approval time — some intrigue relating to Chanute & Chanute's glider approved the same day?","Means for aerial flight",,1,"1892/09/24",,446786,
1897,"us","Wilhelmi, Otto
Düsseldorf, Germany","Rocket; advertising","585,805","1897/07/06","Rocket","Short's DB","“a rocket provided with a charge of circulars or other advertising matter, which is released when the rocket is exploded and which in descending is thus distributed over a large area”","Rocket",,1,"1896/09/21",,606458,
1897,"us","Crepar, Thomas M
Grand Rapids, MN","LTA; car","588,556","1897/08/24","Air-Ship","Short's DB","cabin tightly connected to balloon","Air-Ship",,1,"1896/04/14",,587438,
1897,"us","Reed, Daniel
Eagle Lake, MN","LTA; propulsion; navigation; human-powered","591,692","1897/10/12","Air-Ship","Short's DB",,"Air-Ship",,1,"1896/06/10",,595025,
1897,"us","Graybill, Jacob D.; 3/10 assigned to William W. Battle
New Orleans, LA","LTA; wings","592,704","1897/10/26","Aerial machine","Short's DB","contains separate vacuum chamber","Aerial machine",,1,"1896/05/26",,593173,
1897,"us","Richardson, James; Frank E. Heath
New York, NY","LTA; navigation","596,231","1897/12/28","Flying-Machine","Short's DB","rotating fly-wheel, powered by independent engine, as gyroscope","Flying-Machine",,1,"1896/10/03",,607747,
1898,"us","Leibbrand, Theodore
Columbus, OH","LTA; navigation","600,878","1898/03/22","Aerial navigation","Short's DB",,"Aerial navigation",,1,"1897/06/03",,639219,
1898,"us","Koehler, Adolph
New York, NY","LTA; car","605,438","1898/06/07","Air-Ship","Short's DB","primarily concerns an adjustable configuration of balloons for maintaining balance","Air-Ship",,1,"1897/09/17",,652043,
1898,"us","Jone, Friedrich Alexander
Dresden, Germany","LTA","605,579","1898/06/14","Flying-Machine","Short's DB","disc shape with spoked frame like a bicycle wheel","Flying-Machine",,1,"1897/03/18",,630992,
1898,"us","Butusov, William Paul
Chicago, IL","Glider; car","606,187","1898/06/28","Soaring Machine","Short's DB","glider with standing platform for operator","Soaring Machine",,1,"1896/07/15",,599309,
1898,"us","Rice, Joel Trout
Hot Springs, AR","LTA","606,942","1898/07/05","Flying-Machine","Short's DB",,"Flying-Machine",,1,"1897/08/09",,647565,
1898,"us","Hite, Charles E; Hite Mfg. & Navigation Co.
Philadelphia, PA","LTA","607,240","1898/07/12","Air-Ship","Short's DB","coils for gas cooling/heating","Air-Ship",,1,"1897/09/23",,652677,
1898,"us","Brown, Thomas J.
Sedallia, MO","LTA","610,843","1898/09/13","Aerial ship","Short's DB","gas contained in two cylinders further separated into cells","Aerial ship",,1,"1897/03/26",,629365,
1898,"us","Smith, Oscar L.
New York, NY","LTA; propulsion","612,808","1898/10/18","Air-Ship","Short's DB","propulsion through compressed air","Air-Ship",,1,"1896/01/27",,577057,
1898,"us","Siegsfeld, Rudolph Max Wilhelm Hans von
Schöneberg, Germany","LTA; navigation; kite; stability","612,996","1898/10/25","Air-Balloon","Short's DB","auxillary balloon (or kite) for stability","Air-Balloon",,1,"1896/08/14",,602800,
1898,"us","Merritt, Frederick R.
Prairie City, OR","Wings; propulsion; navigation; marine","615,569","1898/12/06","Air-Ship","Short's DB","wings powered by central drive-shaft; also proposed for submarine use","Air-Ship",,1,"1898/04/07",,676775,
1898,"us","Kress, Wilhelm",," ",,"Tandem triplane","Short's DB","https://en.wikipedia.org/wiki/Wilhelm_Kress; Kress most known for 1901 water landing http://www.flyingmachines.org/whkr.html ; 1900 stick control; Kress is described in several places as not having sought a patent","Tandem triplane",,1,"'",,,
1899,"us","Zeppelin, Graf Ferdinand
Stuttgart, Germany","LTA; propulsion; car","621,195","1899/03/14","Navigable balloon","Short's DB","multiple separate motors; wire system for moving weight to achieve balance; https://en.wikipedia.org/wiki/Ferdinand_von_Zeppelin","Navigable balloon","prior patents in Germany & France",1,"1897/12/29",,664295,
1900,"us","Duffner, Andrew, Jr.
Toledo, OH","propellor","640,184",1/1/1900,"Air-Propeller","Short's DB",,"Air-Propeller",,1,"1899/04/15",,713110,
1900,"us","Otis, Spencer
Omaha, NE","Propulsion","641,793",1/22/1900,"Multiple Aermotor","Short's DB","multiple independently turning wheels power the same central shaft","Multiple Aermotor",,1,"1897/06/25",,723194,
1900,"us","Pickering, John F
Gonaives, Haiti","LTA","643,975",1/1/1900,"Air-ship","Short's DB",,"Air-ship",,1,"1899/07/19",,724406,
1900,"us","John Kaiser; Seneca Falls, NY","ladder","645,645",3/20/1900,"Aerial Apparatus","Short's DB","Not aircraft ; it's a ground-based ladder","Aerial Apparatus",,0,"1899/05/13",,716629,
1900,"us","Woglom, Gilbert T
New York, NY","kite; photography","648,544",5/1/1900,"Kite-like aeroplane","Short's DB","a sturdy kite for exploring the upper atmosphere","Kite-like aeroplane",,1,"1895/11/20",,569545,
1900,"us","Roze, Louis Etienne
Colombes, France","LTA; propulsion","648,634",5/1/1900,"Flying-Machine","Short's DB","two balloons connected by tubes; metal frame","Flying-Machine",,1,"1892/05/31",,719795,
1900,"us","Deydier, Marie J Augustin
Nyons, France","LTA; cargo; track","653,221",7/10/1900,"Electric-Traction Balloon","Short's DB","female?; balloon pulled by electric powered mover on rail","Electric-Traction Balloon",,1,"1898/08/11",,688388,
1900,"us","Cairncross, Stewart
Grafton, ND","Propulsion","653,615",7/10/1900,"Aerial wheel","Short's DB",,"Aerial wheel",,1,"1899/11/25",,738240,
1900,"us","Stanley, Charles; Stanley Aerial Navigation Co.
San Francisco, CA","LTA","659,264",11/13/1900,"Air ship","Short's DB","enclosed & reinforced cylinder; vertical tubes for hidden parachutes","Air ship",,1,"1899/08/07",,726442,
1900,"us","Stevens, Leo
New York, NY","LTA; navigation","661,826",11/13/1900,"Controllable Balloon","Short's DB","system of weights for balancing the balloon","Controllable Balloon",,1,2/6/1900,,4386,
1900,"us","Bellamy, Frederick Adolphus
London, England","fun; cargo; car","663,004",12/4/1900,"Aerial Recreation Apparatus, & c","Short's DB","passengers (or objects) are tossed from one tower to the other!","Aerial Recreation Apparatus, & c",,1,7/9/1900,,23017,
1900,"us","Hubbard, Aristarchus F
Simmler, CA","LTA; car","668,375",12/4/1900,"Air-ship","Short's DB","substantial car; prepared for water landing","Air-ship",,1,"1898/08/11",,688353,
1901,"us","Dillon-Gregg, Joseph H.
St Louis, MO","LTA; propulsion","666,266",1/22/1901,"Machine for aerial navigation","Short's DB","giant outside compartment with blades part of the propulsion","Machine for aerial navigation",,1,"1899/05/01",,715179,
1901,"us","Olsen, Ole
Oakland, CA","LTA; rocket","670,807",2/19/1901,"Air-ship","Short's DB","two tapered cylindrical tubes, attached by the end, with a space at the attachment for passengers; rear cylinder fires rockets","Air-ship",,1,3/23/1900,,9347,
1901,"us","Farr, Eugene M.
Washington, DC","LTA;airplane; propulsion; car","678,114",7/9/1901,"Aerial vessel","Short's DB","large vessel intended as combo balloon/airplane: “a combined balloon and aeroplane so constructed that it may be readily converted rom a balloon into an airplane, or vice versa,” mainly for changing elevation and changing position, respectively; long scre","Aerial vessel",,1,2/18/1900,,5839,
1901,"us","Braby, Henry
Ayr, Queensland",,"686,200",11/5/1901,"Wind motor","Short's DB","wind-powered motor; arguably not aeronautical at all?","Wind motor",,1,11/5/1901,,57683,
1901,"us","Spies, John
Philadelphia, PA","Wings;  navigation; LTA","688,135",12/3/1901,"Air-Ship","Short's DB","balloons and wings; operator can pull a string to shift a weight that changes the ship's center of gravity","Air-Ship",,1,9/22/1900,,30753,
1901,"us","Botts, Robert Henry; Albuquerque, NM","LTA; propulsion; helicopter","688,584",12/10/1901,"Air-Ship","Short's DB"," entry for 1904 led to http://www.theaerodrome.com/forum/non-wwi-aviation/53807-breguets-1919-1939-aircraft-id-challenge-130-a.html , which revealed that Botts constructed a helicopter in 1904 based on this 1901 patent, subsequently located in Google pate","Air-Ship",,,4/16/1901,,56109,
1902,"us","Bell, Walter J.; ½ assigned to Leon F. Moss
Los Angeles, CA","Propulsion; aeroplane","693,943",2/25/1902,"Wing for flying machine","Short's DB","wing or propellor covered with shutters & netting to increase aerodynamics","Wing for flying-machines",,1,4/23/1901,,57072,
1902,"us","Dufwa, Frederick W
Mexico City, Mexico; 'a subject of the King of Sweden and Norway'","Propulsion","694,356",3/4/1902,"Blade for propellers for air-ships","Short's DB","improved propellor blade shape","Blade for propellers for air-ships",,1,5/15/1901,,60278,
1902,"us","Richmond, Cassius Montezuma
New York, NY","LTA","695,580",3/18/1902,"Air-Ship","Short's DB","cylindrical; multiple gas compartments","Air-Ship",,1,10/26/1900,,34453,
1902,"us","Groombridge, Charles; ½ assigned to William Alfred South
London, England","Propulsion","697,403",4/8/1902,"Propeller for air-ships","Short's DB",,"Propeller for air-ships",,1,2/12/1901,,47034,
1902,"us","Conyne, Silas J.
Chicago, IL","kite; advertising; fun","698,634",4/29/1902,"aeroplane","Short's DB","an aerial plane suitable for displaying advertising messages and/or potentially amusing the operator and others","aeroplane",,1,7/15/1901,,63408,
1902,"us","Klotz, Carl F A
Indianapolis, IN","LTA; propulsion; car","701,359",6/3/1902,"Air-ship","Short's DB","motor in the central pilot house, with shafts extending outwards","Air-ship",,1,6/3/1902,,67430,
1902,"us","Samorski, Peter
Chicago, IL","LTA; marine","701,510",6/3/1902,"Air-ship","Short's DB","unusual anvil-shaped car","Air-ship",,1,12/9/1901,,85219,
1902,"us","Voorhis, Harvey B van
Pittsburgh, PA","LTA; propulsion","702,120",6/3/1902,"Air-ship","Short's DB","multiple sets of blades in back & in rear","Air-ship",,1,12/11/1901,,85488,
1902,"us","Rice, Joel Trout
Hot Springs, AK","LTA","704,375",7/8/1902,"Flying-machine","Short's DB",,"Flying-machine","US606942 (1898)",1,2/21/1901,,48272,
1902,"us","Lancaster, Israel
Chicago, IL","aerodynamics","706,832",8/12/1902,"Covering for aeroplanes","Short's DB","aerodynamic improvement for any type of aeroplane (i.e. glider, windmill, wing, etc.); modifications to the plane's texture","Covering for aeroplanes",,1,11/26/1901,,83311,
1902,"us","Gibon, Theodor
Clarksville, TN; 'subject of the Emperor of Germany'",,"710,266",9/30/1902,"aeroplane","Short's DB","powered through release of gas piped to multiple sites on the vessel","aeroplane",,1,4/24/1901,,57299,
1902,"us","Krocker, Ernst Rudolph
Teplitz, Austria-Hungary","propulsion; LTA","712,689",11/4/1902,"Air ship or vessel","Short's DB","concentrate airflow from propellor by encasing it in an open cylinder","Air ship or vessel","Ge18860 (1899), Br24047 (1899), & other applications",1,1/3/1900,,390,
1902,"us","Némethy, Emil; Hungary",," ",1902,"aeroplane","Short's DB","dragon-like' vessel 1900; Némethy-equation” 1903 (http://www.mfa.gov.hu/NR/rdonlyres/AF6AFA4A-2621-4D57-BB2D-5AE4AC561FDA/0/GREAT211.pdf); much more here http://www.energykitesystems.net/0/KITESA/FAQelectric/glossary/f.html; seems to be into kites/gliders","aeroplane","En15403 (1902)",1,"'",,,
1903,"us","Johnston, Edward Payson
Highlands, CO","LTA; propulsion","722,516",3/10/1903,"Air-ship","Short's DB","big ship, attractive illustrations","Air-ship","US383889 (1888); Johnston has evently moved from Decatur, AL",1,"1894/10/18",,526299,
1903,"us","Kaiser, John
Seneca Falls, NY","ladder","722,848",3/17/1903,"Aerial apparatus","Short's DB","Not aircraft ; it's a ground-based ladder","Aerial apparatus","US645645",0,11/15/1901,,82379,
1903,"us","Summers, Fabian A
Washington, IN","LTA; propulsion","723,068",3/17/1903,"Air-ship","Short's DB","sucks in air at the front and expels it at the back","Air-ship",,1,4/17/1902,,103278,
1903,"us","Berry, John
St Louis, MO","LTA; propulsion","723,636",3/24/1903,"Air-ship","Short's DB","multiple small propellors; two at the top rotate in reverse directions (w/ appropriately reversed blades)","Air-ship",,1,3/3/1902,,96432,
1903,"us","Michelsen, Thor
Los Angeles, CA","LTA","725,981",4/21/1903,"Air-ship","Short's DB",,"Air-ship",,1,12/28/1901,,87571,
1903,"us","LaFrance, Asa W & William Wright
Elmira, NY","ladder","726,543",4/28/1903,"Aerial apparatus","Short's DB","pivots for an aerial ladder","Aerial apparatus",,1,7/17/1902,,115961,
1903,"us","Kaehler, Otto A.
Detroit, MI","wings","727,377",5/5/1903,"Flying-machine","Short's DB",,"Flying-machine",,1,1/18/1902,,90311,
1903,"us","Boswell, Lewis A
Eastaboga, AL","navigation; LTA","728,844",5/26/1903,"Steering mechanism for dirigible air-ships","Short's DB","rudder improvement","Steering mechanism for dirigible air-ships",,1,9/24/1901,,76365,
1903,"us","Shultz, George D.
Kansas City, MO","LTA; wings","729,800",6/2/1903,"Aerial vessel","Short's DB","wings with 'quills', 'feathers'","Aerial vessel",,1,7/2/1901,,130004,
1903,"us","Gibon, Theodor
Clarksville, TN","airplane; propulsion; navigation","730,107",6/2/1903,"Aeroplane","Short's DB","navigation improvement through manipulation of the (prior) gas discharge system","Aeroplane","US710266 (1902)",1,11/19/1902,,132033,
1903,"us","Godefroy, Alexandre F
St. Louis, MO","propulsion; marine","730,529",6/9/1903,"Means for propelling vessels","Short's DB","air or water; includes mechanism for drawing then expelling fluid medium","Means for propelling vessels",,1,5/9/1902,,106553,
1903,"us","Morris, Isaac I.
Mellette, SD","LTA; propulsion; wings; human-powered","737,947",9/1/1903,"Machine for aerial navigation","Short's DB","pedal-operated wings","Machine for aerial navigation",,1,7/15/1902,,115697,
1903,"us","Deventer, Charles E Van
Springfield, IL","propulsion; wings; landing","741,568",10/13/1903,"Apparatus for aerial navigation","Short's DB","little house of wings with rubber-ball feet; optionally connected to LTA gas balloons","Apparatus for aerial navigation",,1,7/5/1903,,114455,
1904,"us","Berry Aerial Navigation Corp",,12250,1669,"Airship","Short's DB","Patent number and date don't line up ; don't agree ;  — 12250 is a 1955 patent for Abijah R. Tewkesbury of Boston, a steering apparatus; but it is listed as “re-issue” to John Berry in the 1904 PTO gazette: http://books.google.com/books?id=QsdPqAvbpIkC&pg","Airship",,1,"'",,,
1904,"us","Needham, Charles F; ½ assigned to George G. Needham
New York, NY ","fun; human-powered; track","730,956",5/24/1904,"Aerial navigation apparatus","Short's DB","funny looking contraption along which suspended humans can travel; a proto-'zip line'","Aerial navigation apparatus",,1,5/21/1902,,108302,
1904,"us","Bell, Alexander Graham
Washington, DC","kite","757,012",4/12/1904,"Aerial vehicle","Short's DB","kite based on hexagon/triangles","Aerial vehicle",,1,6/1/1903,,159557,
1904,"us","Morrison, Charles F
Cornplanter, PA","track","761,053",5/24/1904,"Aerial navigation apparatus","Short's DB","another track for sliding suspended humans; this one recommends springs","Aerial navigation apparatus",,1,3/21/1902,,202081,
1904,"us","Craig, Stephen Merrill
Moscow, ID","Propulsion","766,021",7/26/1904,"Flying machine","Short's DB",,"Flying-Machine",,1,6/18/1903,,162129,
1904,"us","Walden, Howard de & Hans Knudsen (US citizen)
London, England","LTA","769,034",9/20/1904,"Aerial vessel","Short's DB","simple design; unique feature is large distance between car & balloons","Aerial vessel",,1,"1903/??/03",,150967,
1904,"us","Thompson, George W.
Woodville, Indian Territoy","Propulsion","769,721",9/13/1904,"Flying machine","Short's DB","propellors encased by a hood which directs the force of the air down","Flying machine",,1,7/9/1903,,164896,
1904,"us","Bell, Alexander G
Washington DC","kite","770,626",9/20/1904,"Aerial vehicle or other structure","Short's DB","tetrahedral frame","Aerial vehicle or other structure",,1,6/1/1903,,159556,
1904,"us","Botts, R H",," ",1904,"Circular wing","Short's DB","see US688584 (1901)","Circular wing",,1,"'",,,
1905,"us","Criswell, Alexander P
Chicago, IL","aerodynamics","785,717",3/28/1905,"Aeroplane","Short's DB","triangular aeroplane frame","Aeroplane",,1,12/28/1903,,136765,
1905,"us","Lancaster, Israel
Chicago, IL","aerodynamics","785,740",3/28/1905,"Covering for aeroplanes","Short's DB","hundreds of tiny silver-wire cuts into the surface of the aeroplane","Covering for aeroplanes","US706832 (1902)",1,7/12/1904,,216276,
1905,"us","McMullen, George
Perth, Australia","propulsion; wings","792,154",6/13/1905,"Aeronautic apparatus","Short's DB","wing “fulcrumed upon a fixed pivot” around which it rotates","Aeronautic apparatus",,1,6/13/1905,,190991,
1905,"us","Friedel, Albert Hugo
New York, NY","propulsion; navigation","804,593",11/14/1905,"Flying machine","Short's DB",,"Flying-Machine",,1,8/20/1904,,221511,
1906,"us","Platt, Albert L
Clinton, IL","fun; whirligig","813,519",2/27/1906,"Aerial top","Short's DB","pull the cord and off she goes","Aerial top",,1,6/20/1905,,266131,
1906,"us","O'Kane, Bartholomew; ½ assigned to Stella Noel
Cincinnati, OH","aerodynamics; car; parachute; wings","820,938",5/15/1906,"Aerial vessel","Short's DB","Up-and-down wings powered by crankshaft","Aerial vessel",,1,8/22/1904,,221654,
1906,"us","Wright, Orville & Wilbur
Dayton, OH","airplane; stability; navigation","821,393",5/22/1906,"Flying-machine","Short's DB","Two aeroplanes made from wood, covered by cloth; rudder for navigation in the front","Flying-machine",,1,3/23/1903,,149220,
1906,"us","Hofmann, Joseph
Berlin, Germany","wings","827,017",7/24/1906,"Wing of flying machines","Short's DB","Wings that fold when not in use","Wing of flying machines",,1,6/26/1902,,113482,
1906,"us","Kramer, John B
Lancaster, OH","LTA; navigation; propulsion","827,157",7/31/1906,"Aerodome","Short's DB","Vertical air column for LTA vessel","Aerodome",,1,7/31/1906,,251624,
1906,"us","Montgomery, John J
Santa Clara, CA","navigation; aerodynamics","831,173",9/18/1906,"Aeroplane","Short's DB","curved wing surfaces","Aeroplane",,1,4/26/1905,,257403,
1906,"us","Chanute, Octave
Chicago, IL","track","834,658",10/30/1906,"Means for aerial flight","Short's DB","Track-guided (but detachable) flying machine; refers to Br18663 (1897), issued to Robert Krauss; distinguishes itself because this patent does not specify disconnection","Means for aerial flight",,1,9/16/1904,,224696,
1906,"us","West, George M. 
Los Angeles, CA","LTA; wings","838,673",12/18/1906,"Automobile aerial navigator","Short's DB","utter ornithopter (with a bird head); includes a balloon","Automobile aerial navigator",,1,3/30/1906,,308922,
1907,"us","Schroeder, George G; assigns to Industrial Transportation Company
Washington, DC","brakes; track","841,581",1/15/1907,"Brake for aerial navigation","Short's DB","Brake for cars coming through a station on a track","Brake for aerial navigation",,1,10/8/1904,,323345,
1907,"us","Morgan, William (British)
Fort Plain, NY","Airplane","843,476",2/5/1907,"Flying machine","Short's DB","organized around a 'horizontal backbone'","Flying-Machine",,1,3/31/1906,,309156,
1907,"us","McCarthy, Alexander
New York, NY","helicopter; propulsion; navigation","844,172",2/12/1907,"Aeronautical machine","Short's DB","overhead propellor as well as others encased in open cones to direct airflow","Aeronautical machine",,1,3/17/1906,,306510,
1907,"us","Bellows, Horace M
Huntingdon Valley, PA","airplane, wings, navigation","844,771",2/19/1907,"Aerial navigation","Short's DB","another conspicuous ornithopter, looking hawk-like in the illustrations","Aerial navigation",,1,9/7/1906,,333682,
1907,"us","Dufaux, Armand & Henri
Geneva, Switzerland","wings","846,830",3/12/1907,"Aeroplane or craft for aerial navigation","Short's DB","mechanism for operating wings from a motor","Aeroplane or craft for aerial navigation",,1,2/25/1905,,247395,
