Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Midland Aero Club,Local,,"England, GB, UK","Birmingham, England","The Bungalow, Stechford, Birmingham (1910); Grand Hotel, Colmore Row, Birmingham (1911); The Bungalow, Stechford, Birmingham (1912, but perhaps this was out-of-date information)  ",,,1910 or earlier,,"""Flight"" Manual 13 (1910); 1911 Hazell's 488; 1913 Aviation P-B 163 (Jan. 1913); WorldCat.org and WorldCat-OCLC","Organized Midlands Aviation Meeting. Dunstall Park, Wolverhampton, England, 27 June to 2 July, 1910.",,,
Milwaukee Aero Club,Local,"ACA, from at least 1910",USA,"Milwaukee, Wisconsin",no fixed address (1906-1919),0,0,1908,1920 or later,"1908 Milwaukee Free Press 1  Mar.; 1908 NYT, 10 Apr.;  2:6 Aeronautics 20 (1908); 1908 Chicago Daily Tribune, 9 July; 1909 CDT 18 Feb.; 1910 Boston Daily Globe, 13, 14, & 16 Aug.; 5 Aeronautics 24 (1909); 8 Aeronautics 185 (1911); 2:11 Flying 34 (1913); 5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920); ACA annuals (1910-1917, 1919); Goodyear 11 (1919)","Articles of incorporation for the Milwaukee Aero Club, signed by a number of Milwaukee's business elites, were filed in Madison, Wisconsin, on 29 Feb. 1908. Objectives of the club were to own, control, and manufacture balloons, aeroplanes, and aircraft of every description; to promote the science of aeronautcs; to meet in competitions; and to encourage and promote the ideals of navigation of the air.  Officers and directors were elected at a meeting of the incorporators 6 Mar. 1908 in rooms of the Merchants' and Manufacturers' Association.  A committee was appointed at that time to formulate bylaws.  The state fair park at West Allis was to be the balloon grounds of the club.  (According to the New York Times of 10 Apr.1908, the club was one of the first four affiliates of the Aero Club of America; however, given information in the ACA annuals 1909 and 1910, this appears to be an incorrect statement.  Instead, it appears that the fourth was the Aero Club of North Adams, Massachusetts.)  ","Initial officers, 1908, were elected from the 17 incorporators and included John H. Moss, president; John H. Kopmeier and Edward P. Vilas, vice presidents; Richard B. Watrous, secretary; Oliver C. Fuller, treasurer.  In July 1908, Col. Gustav Pabst gave the club a balloon so Maj. Henry B. Hersey (an incorporator and board member), considered a leading balloon pilot in the USA, could instruct Milwaukee men in the handling of balloons sufficient to obtain their licenses from the Aero Club of America.  Officers, 1911, included William G. Bruce, president; John H. Kopmeier and A. O. Smith, vice presidents; Frank A. Cannon, secretary; and Gladstone Cherry, treasurer.  The Milwaukee Aero Club was invited to enter a balloon in the August 1910 Harvard-Boston meet.   ","One of the incorporators was Ruldolph A. Silverston, who was said to be building his own aeroplane.  According to the Chicago Tribune on 18 Feb. 1909, the airship was built by the so-called ""Dr."" Silverston other people's money and ""appeared to be a perfectly good airship and filled the bill in every way except in the matter of flying.""  The paper accused him of being a schemer of long-standing who had used various aliases.   ",Milwaukee Free Press and or Sentinel articles of 1 March 1908 needs to be be retrieved.
Minkan-hiko-Sakushinkai,,,Japan,Tokyo, ,0,0,1920 or earlier,1920 or later,Dir1920, ,,NEEDS MORE RESEARCH.  No idea what this is., 
Moscow Society of Aeronautics,Local,,Russia,Moscow,,,,1909,,"Palmer, Dictatorship of the Air, 20, 24 (2006)",,,need to see Palmer email,
Moscow Society of Ballooning : Moskovskoe Obshchestvo Vozdukhoplavaniia,Local,,Russia,Moscow,,,,1910 or earlier,,LOC OPAC,"The Moskovskoe Obshchestvo Vozdukhoplavaniia or Moscow Society of Ballooning published its Bulletin from 1910.  It's second exhibition was in Moscow, 1912.",, ,
"Motor Union of Great Britain and Ireland, Aviation Section",National,,"England, GB, UK",London,"Caxton House, Westminster, London S.W.",,,1910 or earlier,,1911 Aero-Manuel 235 (1 Oct. 1910),,, ,
Munich Association for Aerial Navigation : Munchener Verein fur Luftschiffahrt,Local,"DLV, 1902",Germany,Munich,"26 Kaufinger-strasse, Munich (1906); 9 Dienerstrasse, Munich (1910-1911)",,2097 (1911),1889,,"P-B of Aeronautics 440 (Eng. ed., Jan. 1907); 1:5 Aeronautics 42-43 (1907); 1:6 Aeronautics 37; 1911 Aero-Manuel 340 (1 Oct. 1910); 1910 Brockett 611; Braunbeck's Sport-Lexicon: Luftschiffahrt 136 (1911)","The Munchener Verein fur Luftschiffahrt or Munich Association for Aerial Navigation was founded 21 Nov. 1889.  It owned balloon stores and had arranged numerous ascents since 19 June 1889.  It published Annual Proceedings up to 1901.  It contributed to the Zeitschrift fur Luftschiffahrt up to 1898 and subsequently to the Illustrierte Aeronautischen Mitieilungen.  It joined the DLV (German Air Navigation Association :  Deutscher Luftschiffer-Verband), which see, in 1902.","In 1906, there was a library of 70 volumes.  Membership on 1 Apr. 1906 was 383, including 53 qualified aeronauts.  In 1911, there were 400 members, including 51 balloon guides.  The association owned one free balloon and used the Stadtisches Gasanstalt (Municipal Gasworks) of Munich.     ", ,
Nashville Aero Club,Local,,USA,"Nashville, Tennessee",,,,1911 or earlier,,"1911 Christian Science Monitor, 29 Apr. ",The Nashville Aero Club sponsored an aviation meet in late April 1911.,,NEEDS RESEARCH  FOR A SECOND SOURCE.,,,,,,,,,
National Association for the Promotion of Military Aeronautics,Local,,USA,"New York City, New York",,,,1910,1910,7 Aeronautics 186-187 (1910),"Formed among officers of the National Guard of the District of Columbia  in 1910, the National Association for the Promotion of Military Aeronautics lasted only a few weeks and was discontinued after its members joined the United States Aeronautical Reserve, which see.",,,,,,,,,,,
National Association of Aeronautic Pilots : Associazione Nazionale Piloti Aeronautici.,,,Italy,Rome,"183, Via del Tritone, Rome (1920)",0,0,1920 or earlier,1920 or later,Dir1920, ,,NEEDS RESEARCH FOR ANOTHER MENTION,,,,,,,,,
National Aviation Center of Uruguay : Centro Nacional de Aviacion de Uruguay, National,"FAI, from 25 Oct. 1919",Uruguay,"Montevideo, Uruguay",Montevideo,0,0,1919 or earlier,1920 or later,"Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI 26-27 (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); Dir1920; ",The Centro Nacional de Aviation de Uruguay was unanimously accepted as an affliate of the Federation Aeronautique Internationale (FAI) at its afternoon meeting on 25 Oct. 1919.  The center ran a school for pilots to learn fly and took only its members as students. ,The admittance of the Centro Nacional de Aviation de Uruguay to the FAI was strongly supported by the government of Uruguay.  ,,"This sounds government supported and, if so, the title of this table is wrong since I can't leave out this club. BTW, I'VE LOST THE TITLE ROW.  BUT ALSO, a 1919 FOUNDING IS TOO LATE, I BELIEVE",,,,,,,,
National Aviation School (?) : Kokuminhiko-kai,,,Japan,Tokyo,"4 Bancho, Kojimachiku, Tokyo (ca. 1919)",0,0,,1919,Dir1920,Amalgamated with the Imperial Aero Club ca. 1919.  But do not know what Dir.1920 is calling the Imperial Aero Club of Japan.  This school does not belong in a row by itself but could be information about the Imperial Aero Club if we knew what it was.  ,,NEEDS FURTHER RESEARCH,,,,,,,,,
"National Council of the Aero Club of America (For continuation, see entry National Council of the Aero Clubs of America.)",National,ACA,USA,"New York City, New York","ACA Headquarters, United Engineering Socieities Bldg., 29 West 39th St., NYC (1910)", ,,1910,Name change 4 Apr. 1911,"1910 NYT 23-25 June, 22 July, 7 Dec.; 1911 NYT 2-4 Apr. & 5-6, 10, 16, 20-21 May & 19 Nov; 7 Aeronautics 52-53 (1910); 8 Aeronautics 26-27, 84, 163-164 (1911);","Formed on 23 June 1910 by the 26 aero clubs (apparently 36 clubs if those in the Intercollegiate Association are separately counted) who withdrew 22 June 1910 from the convention of the American Aeronautical Association and then met to establish a temporary organization called the National Council of Affiliated Clubs of the Aero Club of America.  Made permanent the next day as the National Council of the Aero Club of America, it immediately gained supreme charge of aviation meets and records in the US and the ACA retained its representation in the IFA and the right to hold international meets in the US, thus ending prospects for the same by the new Aeronautic Federation of America, which see.  An NC constitution and bylaws were drafted 12 July 1910 for submission at its annual meeting in December, but it appears their adoption was not until 4 Apr. 1911, at which time the official name was changed to National Council of the Aero Clubs of America and the ACA became an NC member on equal footing, except that the ACA remained the FAI representative.  ","Initial council officers elected 23 June 1910 included Clifford B. Harmon, chair, exec. comm.; W. B. Strang (AC Kansas), Albert H. Lambert (AC St. Louis), Dr. John C. Eberhardt (Dayton Aeroplane Club), and Dr. Albert F. Zahm (AC Washington), vice chairs; Col. J. H. Joyce, Baltimore, treas.; J. H. Fanciulli, sec.; and George H. Harrison (AC Pasadena), ass't sec.; Henry M. Neely (AC Pennsylvania) was named chair, contests comm.  On 4 May 1911, the ACA refused ratification until the NC added a clause that no organization could join the NC unless affiliated with the ACA.  (It appears that shortly afterwards, the Automobile Club of America asserted that the Aero Club was but a section of the Automobile Club and could not enter into an agreement with the NC or any other organization without the consent of the auto club.)  By 21 May, it appeared that the NC had adopted the language desired by the ACA.  In November 1911, the NC's chair, Robert J. Collier (elected in December 1910), was elected president of the ACA.","On 6 Dec.1910, new officers elected included Robert J. Collier, ch.; J. H. Joyce, treas.; and J. K. Duffy, sec.  The first tournament presided was Atlantic City, 4-5 July 1910.  Sanctioned its first long-distance aeroplane race, the New York Times-Chicago Evening Post race, which began in Chicago 8 Oct. 1910.  The original 36 participating clubs were said to represent over 3,300 individuals when they formed the NC.  (A back story of the formation of the NC is that after the delegates of the Aeronautic Federation of America were finally seated at the meeting of the American Aeronautic Association on 22 June, a break was called.  A number of delegates went to dinner with a member of the ACA (its Board of Governors had also met that day) and at dinner the idea of forming an ACA national council was proposed.  Upon convening of the meeting that evening, over half of the delegates walked out.  Those who exited met at the ACA and perfected what became the NC and the ACA retained its representation in the International Aeronautic Federation (IFA).)   "," [need to determine role in Motor Travel, a publication of the Automobile Club of America.]      ",,,,,,,,
"National Council of the Aero Clubs of America (For predecessor, see entry listed under National Council the Aero Club of America.)  ",National Federation ,"ACA, apparent-ly only 1911-1912",USA,"New York City, New York",ACA Headquarters,,,1911,no later than 1913,"1911 NYT 2-4Apr. & 5-6, 10, 16, 20-21 May & 19 Nov; 8 Aeronautics 26-27, 84, 163-164 (1911); ACA annuals (1911-1915);","On 4 Apr. 1911, when a new constitution and bylaws were adopted, the National Council of the Aero Club of America, which see, became the National Council of the Aero Clubs of America.  At that time, the Aero Club of America became an NC member on equal footing, except that the ACA remained the FAI representative.  Articles of Affiliation of Aero Clubs in the United States with the ACA were published in the 1911-1912 ACA annuals.  These provided that the ACA and its members and affiliated clubs could take part in events organized by the ACA, or by other affiliated clubs with the consent of the ACA, or by the NC, or by FAI member clubs.  Accompanying Rules for Application for Affiliation with the ACA specified that ""Applications for Affiliation with the Aero Club of America (whose jurisdiction is international) and for affiliation with the National Council (whose jurisdiction is national) must be made upon separate sets of papers, and the National Council should be separately consulted as to its own requirements in this regard.""  "," In November 1911, the NC's chair, Robert J. Collier (elected in December 1910), was elected president of the ACA.  Beginning with the 1913 ACA annual, the National Council ceased to be mentioned and would appear to have gone out of existence.       ",,,,,,,,,,
National Federation of Aerial Societies : Federation National des Societes Aeriennes,National Federation,,France,Paris,244 Rue des Pyrenees,,,1910 or earlier,,1911 Aero-Manuel 294 (1 Oct. 1910),,President in 1910 was Chedeville.,,,,,,,,,,
National Model Aero Club,,,,"New York, New York",,,,1910,,"1910 NYT, 3 Mar.;","The National Model Aero Club was organized ca. 2 March 1910 to promote the study of the problems of aeronautics as demonstrated by aero models, to regulate and control all model competitions in the USA, and to disseminate the latest ideas and discoveries in the problem of flight as demonstrated by models of either heavier- or lighter-than-air types.  Membership was divided into a senior class and a junior class for boys under 18.  When a model has been developed that has secured a record for flight or originality of construction, it was proposed to place it at the disposal of the senior organizations for development to practical size.    ","Initial officers included W. H. Crocker, president; M. W. Sage and P. W. Wilcox, vice presidents; F. S. Crocker, secretary; and M. P. Talmage, treasurer.  Leo Stevens, Edward Durant, A. Armstrong, and L. W. Houck were directors.",,,,,,,,,,
New Jersey Aeronautical League ,State,,USA,New Jersey,,,,1910 or earlier,,7 Aeronautics 187 (1910),Started at the Guttenburg race track.  Organized for the promotion of aeronautics in New Jersey.,"About 30 members, November 1910.  Officers:  A. Ermetti, president; C. Christianson, vice president; J. F. Rinz, treasurer; W. A. Kraus, secretary.",,,,,,,,,,
New York Flying Yacht Club,Local,"ACA, 1917",USA,"New York City, New York","522 Riverside Drive, New York City",,,1917 or earlier,appears to be 1918,"ACA annuals (1917, 1919); LOC OPAC; 6 Flying 498 (1917); 8 Flying 549 (1919); ","Not listed in 1919 ACA annual; 1918 Annual was not available to check for a listing.  Not in list of ACA affiliated clubs Flying, 1919;  Flying, 1918 not available on Internet search.  Thus was founded no later than July 1917 ",,,Too late if 1917 proves accurate?,,,,,,,,
North Adams Aero Club,Local,"ACA, from at least 1909",USA,"North Adams, Massachusetts",,,,1908,,"1908 Boston Daily Globe, 10 March; 1908 Hartford Courant, 10 Mar.; 1908 NYT, 10 Apr.; 1908 WSJ, 28 Nov.; 1910 BDG, 13, 14, & 16 Aug.; 1 American Aeronaut 256 (June 1908); ACA annual (1909);",The North Adams Aero Club was formally organized 9 Mar. 1908.  It began as a balloon club with the intent of promoting the spirit of ballooning by the holding of many contests.  The club was to purchase the balloon Stevens 21 and refit and christen it as North Adams No. 1   The North Adams Aero Club was one of the first five aero clubs in the U.S. to affiliate with the ACA (it appears to have been the fourth to affiliate).  ,"Initial officers were Col. Frank S. Richardson, president; N. H. Arnold, secretary; and A. W. Chippendale, treasurer.  The Aero Club of North Adams entered a balloon in the August 1910 Harvard-Boston Meet.  ","[does not appear in ACA annuals after 1909, need to research whether it died?]",,,,,,,,,
North Aviation :                                      Nord Aviation,Local,,France,"Lille, Nord","10 Grand Place, Lille",,,1908 or earlier,,"1909 Motor Cyclopaedia YB 110 Misc; 9 La Vie Automobile No. 384 (6 Feb. 1909) p. vi; 17 L'Aerophile 116, 241 (1909); 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 493 (1 Oct. 1910) ","In 1908, among other activities, members of the club Nord Aviation constructed gliders on which more than 300 flights were taken; started construction on devices of members Pierre Clement, Coquard, Robert Cordonnier, de Montiguy, and Schubart; joined Captain Ferber in the first conference in the north of France for cinemaphotographers of aviation; visited other aviation clubs and ateliers of aviators; provided information to other clubs concerning interests in flights with exterior motors; and otherwise promoted the development of aviation in the north of France. ","The founder and first chairman of Nord Aviation was Fernand Scrive.  In 1909, Delasalle, Hector Franchomme, and Lesage were named honorary presidents; Fernand Scrive was elected president, and Alexandre See was elected vice president.  In 1910, the club had some 52 active members and nearly 70 other member affiliates.  Officers, 1910, included Scrive, president; See and Count Alfred de Montigny, vice presidents; and Maurice Piquet, secretary-treasurer.   ",,,,,,,,,,
North German Automobile Club in Hamburg : Norddeutscher Automobil-Club in Hamburg,,N/A,Germanu,Hamburg,"Office and Club House, 17 Colonnaden I, Hamburgg",,,1910 or earlier,,Braunbeck's Sport-Lexikon:  Luftschiffahrt 153 (1911),"The North German Automobile Club in Hamburg : Norddeutscher Automobil-Club in Hamburg   was founded 20 Mar. 1902 in Hamburg.  Ca. 1910, the club established a Flight Technical Committee","In 1911, the club had 150 members.  The flight technical committee had six members.",,,,,,,,,,
North St. Louis Aero Club,Local,,USA,"St. Louis, Missouri",,,,1909,,"1909 St. Louis Post-Dispatch, 21 Sept.;","On 21 Sept. 1909, the North St. Louis Aero Club was reported about to be formed. ","Balloon manufacturer M. A. Heimann, a director of the South St. Louis Aero Club who was at odds with that club, was aiding in the formation of the club and said his balloons would be at their disposal during Centennial Week, 1909.   ",,,,,,,,,,
Northampton Aero Club,Local,,"England, GB, UK","Dallington, Northampton","c/o Secretary, Dallington, Northampton (1912)",,,1912 or earlier,,1913 Aviation P-B 163 (Jan. 1913);,,,,,,,,,,,,
Northampton Polytechnic Aeronautical Research Society,University,,"England, GB, UK",Northampton,Northampton Polytechnic,,,1912 or earlier,,18 Aeronautical Journal 377 (1914),,,
North-Eastern Aero Club,Local,"RACUK, from at least 1912","England, GB, UK",Frankfurt am Main,"Milburn House, Newcastle-on-Tyne (1912)",,,1912 or earlier,,1913 Aviation P-B 160 (Jan. 1913),,,
Northumberland Aero Club,Local,,"England, GB, UK",Newcastle-on-Tyne,"c/o Secretary, Wentworth Place, Newcastle (1910-1912)",,,1909,,"1909 Manchester Guardian, 15 Oct.; ""Flight"" Manual 13 (1910); 1913 Aviation P-B 163 (Jan. 1913);","The Northumberland Aero Club at Newcastle-on-Tyne was founded at a large meeting on 14 Oct. 1909.  We suspect that Northumberland Aero Club and Northumberland and Durham Aero Club are the same club, but without more information we are listing as separate clubs.","C. A. Parsons, inventor of the marine turbine, was elected the first president.",
Northumberland and Durham Aero Club,Local,,"England, GB, UK",Newcastle,"4 Roseberry Crescent, Newcastle",,,1911 or earlier,,1911 Hazell's 488,"We suspect that Northumberland Aero Club and Northumberland and Durham Aero Club are the same club, but without more information we are listing as separate clubs.",,
Northwest German Union for Aerial Navigation: Nordwestdeutscher Vereinigung fur Luftschiffahrt                                   (2),Regional,N/A,Germany,"Osnabruck, Lower Saxony",,,,1910,,"Braunbeck's Sport-Lexicon: Luftschiffahrt 153, 164 (1911); ","The Nordwestdeutscher Vereinigung fur Luftschiffahrt or Northwest German Union for Aerial Navigation was founded in Osnabruck on 10 January 1910.  In 1911, the union included five local Verein fur Luftschiffahrt (V.f.L.) or associations for aerial navigation: Bielefeld, Bremen, Munster, Oldenburg, and Osnabruck.  The chairman of each club constituted the board.  It appears that the chair and the office were to rotate as follows:  Osnabruck (1910), Bremen (1911), Munster (1912), Oldenburg (1913), and (Bielefeld (1914).","In 1911 there were about 760 members.  Based on a list of associations outside the Deutshscher Luftschifer-Verband (DLV) in Braunbeck's, we believe the affiliated associations to be Westfalisch-Lippischer V.f.L. (Bielefeld), Bremischer V.f L. (although other information in Braunbeck's indicates this V.f.L. was in the DLV), Luftschiffahrtsverein Munster, Oldenburgischer V.f.L., and the Nordwestdeutscher Vereinigung fur Lufshiffahrt, all of which see. ",This is based totally on Braunbbeck's and this reincarnation of the Association needs to be corroborated by another source.
Northwest German Union for Aerial Navigation: Nordwestdeutscher Vereinigung fur Luftschiffahrt                           (1),Local,"DLV, 1909",Germany,"Osnabruck, Lower Saxony",,,,1909,"1909, name change","14(8) Deutsche Zeitschrift fur Luftschiffahrt 2 (20 Apr. 1910); Braunbeck's Sport-Lexicon: Luftschiffahrt 70, 140, 163, 304 (1911); ","The Nordwestdeutscher Verein fur Luftschiffahrt or Northwest German Union for Aerial Navigation, which see, was founded at Osnabruck, Germany, on 4 April 1909.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, on 21 May or June 1909.  It appears that before the end of 1909, the organization changed its name to Osnabrucker Verein fur Luftschiffahrt.     ","The chairman, 1909, was Captain Otto Romberg",
Norweigian Air Sailing Association : Norsk Luftseiladsforening : Norsk Luftseilads-Forening,National,"FAI, 1910",Norway,Christiana (later renamed Oslo),"10 Holtegaten, Christiana (1910-1911); 54 Ullevaalsvei, Christiana  (1911-1919); 313 Postboks, Christiana (1919)"," Luftseilads-foreningen, Christiana (at least 1910-1919)",0,1910 or earlier,1920 or later,"ACA annuals (1910-1917. 1919); 1910 FAI Conference Statutaire Proces-Verbaux; FAI Conference Statutaire Proces-Verbaux (1912); FAI Conference Extraordinaire, 19-21 May1919; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1918 Aviation P-B 274; 1919-1920 Aviation P-B 386 (1919); Dir1920;  ","(We are unable to determine the date of Norway was admitted to the FAI.  It is not shown as admitted during the 1909 Conference Statutaire Verbal, yet it appears to attend the 1910 conference already admitted.  There appears to have been a meeting of the FAI Bureau in January 1910 about which we are seeking information.) ",, 
"Notts Aero Club, aka Nottingham Aero Club",Local,,"England, GB, UK",Ruddington,"c/o Secretary, Manor Park, Ruddington (1910-1912)",,,1910 or earlier,," ""Flight"" Manual 14 (1910); 1913 Aviation P-B 163 (Jan. 1913);",,Ruddington is a village five miles south of Nottingham.  It appears that Notts is a nickname for Nottingham.,
Nuremberg Association for Aerial Navigation : Nurnberger Verein fur Luftschiffahrt,Local,"DLV, 5 Nov. 1908", Germany,Nuremberg,"3 Berfortergrab, Nuremberg (1910); c/o Ley, 3 Laufer Torggrabeu, Nuremberg; balloon place at Staditsches Gaswerk, Nuremberg (1911)",,,1908,,1911 Aero-Manuel 343 (1 Oct. 1910); Braunbeck's Sport-Lexicon: Luftschiffahrt 139 (1911),"The Nurnberger Verein fur Luftschiffahrt or Nuremberg Association for Aerial Navigation was founded Nuremberg on 29 Aug. 1908.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, on 5 Nov. 1908. ","In 1911, Ludwig Schutte was president Gerhard Ley was vice president.  There were 267 members, including nine balloon guides.  The association owned one free balloon and used the Stadtisches Gaswerk (Municipal Gasworks) at Nuremberg as its balloon place.   ",
Oakland Aero Club : Aero Club of Oakland,Local,,USA,"Oakland, California",,,,1909,,"1909 SF Chronicle, 8, 13, 15 & 18 Aug., 8 & 25 Oct., 5 Nov., and 17 Dec.; 5 Aeronautics 161 (1909); 1910 Aircraft, 1 Mar.; 1910 LA Times, 5 Jan; 1910 NYT, 3 June","The Oakland Aero Club was formed 8 Aug. 1909 but preparations appear to have been going on before that since a balloon had already been completed for the club.  The first event following the club's organization was a christening of its 45,000 cu. ft., four-passenger balloon on 14 Aug. 1909.  In October 1908, the club's balloon, City of Oakland, piloted by Capt. J. C. Mars, who was accompanied by Oakland society girl Miss Margeurita Miller, won the the Pertola Aviation Cup offered by Pacific Aero Club, whose balloon Queen of the Pacific was piloted by Capt. Ivy Baldwin with Miss Geneva Schaffer in the basket.  .  Bylaws based on those of the Aero Club of America were expected to be adopted on 21 Dec. 1909.","Initial officers elected were:  A. Van der Naillen, Jr., president; Dr. C. L. Tisdale and H. C. Capwell, vice presidents; Col. Thomas (or Theodore) Gier, treasurer; and Edwin Stearns, secretary. The club then numbered some 50 members.  New officers including Robert W. Martland, president, and James C. Moin, secretary, were elected and formally installed on 15 Dec. 1909.  J. C. Mars, Wilson Carrier, and Edward Marriott, were appointed to draw up the bylaws.  By March 1910, 175 members were reported and Glen Curtiss had been elected honorary president.",
Odessa Aero Club (or Aero Club of Odessa),Local,,Russia,Odessa,,,,1908,,"FAI Reunion Extraordinaire du Bureau, 28 Dec1908 (Process-Verbaux); FAI Coference Extraordinaire, 11-12 Jan1909, Proces-Verbaux; 1909 FAI Conference Statutaire Proces-Verbaux 12 (1910); 5 Aeronautics 198 (1909); Palmer, Dictatorship of the Air 20 (2006); ",The Odessa Aero Club (or Aero Club of Odessa) was founded 10 Mar. 1908.  It published a journal.  ,"At its meeting on 28 Dec. 1908, the Bureau of the Federation Aeronautique Internationale (FAI) reserved judgment on the admission of the Odessa Aero Club to the FAI until it could investigate the club's claim that it alone represented all of Russia.  The FAI conference, meeting on 11 Jan. 1909, agreed that the Bureau should investigate the sport of aviation in Russia before the FAI's next proceedings.  Apparently as a result of that investigation, the Imperatorskii Vserossiiskii Aero-Klub (Aero Club Imperial de Russie) in St. Petersburg was admitted to the FAI at the FAI's meeting 30 Sept. 1909.     ",
Oldenburg Association for Aerial Navigation : Oldenburgischer Verein fur Luftschiffahrt,Local,,Germany,"Oldenburg, Grand Duchy of Nordmark",,,,1909,,Braunbeck's Sport-Lexicon: Luftschiffahrt 154 (1911); ,The Oldenburgischer Verein fur Luftschiffahrt or Oldenburg Association for Aerial Navigation was founded in Oldenburg on 29 Nov. 1909.  It appears to have been a founding member on 10 Jan. 1910 of the Nordwestdeutscher Verein fur Luftschiffahrt or Northwest German Union for Aerial Navigation in Osnaburck. ,"In 1911, the association had 75 members.",
Oldham Aero Club,Local,,"England, GB, UK",Oldham,5 Church Terrace (1910-1912),,,1910 or earlier,," ""Flight"" Manual 14 (1910); 1913 Aviation P-B 163 (Jan. 1913);",,,
Osnabruck Association for Aerial Navigation : Osnabrucker Verein fur Luftschiffahrt,Local,"DLV, 1909",Germany,"Osnabruck, Lower Saxony","4 Wittekindstrasse, Osnabruck (at least 1910-1911); Balloon place on Liebigstrasse, Osnabruckm (at least 1911)",,,"1909, predeces-sor in name",,"14(8) Deutsche Zeitschrift fur Luftschiffahrt 2 (20 Apr. 1910); Braunbeck's Sport-Lexicon: Luftschiffahrt 70, 140, 163, 304 (1911); ","The Nordwestdeutscher Verein fur Luftschiffahrt or Northwest German Union for Aerial Navigation, which see, was founded at Osnabruck, Germany, on 4 April 1909.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, on 21 May or June 1909.  It appears that before the end of 1909, the organization changed its name to Osnabrucker Verein fur Luftschiffahrt.     ","Captain Otto Romberg, chairman of the Nordwestdeutscher Verein fur Luftschiffahrt, appears to have remained chairman after the name change to Osnabrucker Verein fur Luftschiffahrt.  In 1911, in addition to Romberg as chairman, officers included Wulff, vice chairman; Rackhorst, 1st secretary; Heilbronn, 2nd secretary; and Stolcke, secretary, which Boetticher, the government president, was honorary chairman.  The association had 210 members, including four balloon guides.  It owned one free balloon and used a field between the Osnabruck Municipal Gas Authority and the Osnabruck Municipal slaughterhouse on Liebig Street.  ",It appears that the demise of the original Nordwestdeutscher Vereinigung fur Luftschiffahrt left room for the creation of a second Nordwestdeutscher Vereinigung fur Luftchiffahrt in January 1910.  
Oxford Aero Club,Local,,"England, GB, UK",Oxford,"Aero, c/o Collier Brothers, St. Aldates, Oxford (1910-1912)", ,,1910 or earlier,,"1910 Observer, 16 Jan.; 1911 Aero-Manuel 346 (1 Oct. 1910); 1913 Aviation P-B 163 (Jan. 1913);",An aero club was established at Oxford University ca. early January 1910.,,
